State,Agency,Code,Name,Latitude (º),Longitude (º),Altitude (m),Start year,End year,Years,K,a,b,c,K_r,a_r,b_r,c_r,NSE_all18,R2_all18,RMSE_all18
MG,ANA,1741001,Mucuri,-17.59499999,-41.4928,334.0,1973.0,1999.0,27.0,2042.521,0.208,24.596,0.886,1463.5907,0.17131847,16.53494,0.8999004,0.798629469998392,0.798629469998392,26.39363637996475
MG,ANA,1741012,Teófilo Otoni,-17.85,-41.5167,357.0,1983.0,1999.0,17.0,1715.786,0.201,26.962,0.815,1914.0514,0.14981064,22.002983,0.93073744,0.6952278711856641,0.6952278711856641,32.80031581503663
MG,ANA,1742008,Carbonita,-17.5794,-42.99499999,552.0,1973.0,1999.0,22.0,1542.323,0.208,16.364,0.878,3207.9492,0.18339324,25.342512,1.0109246,0.9914820561548332,0.9914820561548332,5.1217987707604085
MG,ANA,1742016,Itamarandiba,-17.85,-42.85,1097.0,1986.0,1999.0,14.0,3220.0,0.209,35.476,0.918,3071.7144,0.1709161,27.23535,1.0021513,0.7612148887702745,0.7612148887702745,32.76328889316864
MG,ANA,1743002,Vila Terra Branca - Jusante (Bocaiúva),-17.3128,-43.20779999,630.0,1974.0,1999.0,25.0,716.71,0.213,5.25,0.752,3168.2378,0.14699106,27.138279,1.0121675,0.9022195172881033,0.9022195172881033,17.19376856474162
MG,ANA,1744020,Montante Barra do Jequitaí,-17.0667,-44.79999999,535.0,1980.0,1989.0,10.0,11285.14,0.212,45.875,1.225,3498.6484,0.17979363,54.324005,1.0147734,0.651677741880268,0.651677741880268,33.99947029083559
MG,ANA,1744025,Pirapora,-17.35,-44.95,503.0,1982.0,1999.0,18.0,3210.188,0.181,33.293,0.948,3061.2195,0.16571939,41.75215,1.0081319,0.6449748962623754,0.6449748962623754,33.18646732575285
MG,ANA,1745001,Cachoeira do Paredão,-17.1111,-45.4378,520.0,1982.0,1999.0,18.0,3352.251,0.2,27.381,1.009,3619.2476,0.16976768,37.623783,1.0332212,0.8343457197818521,0.8343457197818521,22.798954693160947
MG,ANA,1745007,Porto do Cavalo,-17.0269,-45.5406,473.0,1978.0,1999.0,22.0,1446.429,0.226,14.002,0.873,3819.4995,0.17429852,41.738117,1.0339636,0.7719169150694833,0.7719169150694833,28.89691164316757
MG,ANA,1746001,Porto da Extrema,-17.03079999,-46.0136,510.0,1975.0,1999.0,23.0,5212.471,0.181,33.706,1.061,2584.531,0.18242325,24.821098,0.98127425,0.9205042281367425,0.9205042281367425,16.37432375029061
MG,ANA,1746002,Santa Rosa,-17.25529999,-46.4739,490.0,1975.0,1999.0,24.0,2144.847,0.171,19.378,0.909,1615.739,0.18777078,10.289324,0.908731,0.9902845689324851,0.9902845689324851,5.507043427909568
MG,ANA,1746006,Ponte da BR-040 - Prata,-17.66359999,-46.35499999,765.0,1978.0,1999.0,21.0,2404.064,0.231,22.736,0.918,1851.2336,0.1596109,9.742901,0.92434394,0.8996589380628316,0.8996589380628316,22.24458355329374
MG,ANA,1746007,Ponte da BR-040 - Paracatu,-17.4972,-46.5817,696.0,1981.0,1999.0,18.0,1421.988,0.194,7.5,0.867,1510.0703,0.18725857,7.7577014,0.89259034,0.99322352006864,0.99322352006864,5.451441300513615
MG,ANA,1746012,João Pinheiro,-17.6999999,-46.16669999,870.0,1983.0,1999.0,17.0,4741.682,0.202,42.383,0.993,2270.2861,0.17039646,15.684696,0.963236,0.8911688535827601,0.8911688535827601,20.998678701601406
MG,ANA,1746013,Paracatu,-17.21669999,-46.8667,711.0,1983.0,1999.0,17.0,9099.043,0.184,49.164,1.125,1637.8137,0.1918978,10.335905,0.9069226,0.9640234917243711,0.9640234917243711,11.291684216314458
MG,ANA,1747002,Fazenda Buriti II (Faz. Angical),-17.41669999,-47.5167,688.0,1976.0,1999.0,24.0,10030.56,0.138,45.209,1.155,2265.7278,0.15054652,26.822798,0.96628684,0.7971718042958983,0.7971718042958983,23.70250340118397
MG,ANA,1841001,Vila Matias - Montante,-18.5747,-41.9178,174.0,1973.0,1986.0,14.0,3600.0,0.194,46.187,0.91,1796.0352,0.16925842,17.972437,0.92074716,0.7599351205724434,0.7599351205724434,30.21903497254403
MG,ANA,1841011,Tumiritinga,-18.9764,-41.6403,135.0,1974.0,1999.0,26.0,2077.822,0.178,31.713,0.842,1412.0997,0.1773186,14.817668,0.8771717,0.8965483451880571,0.8965483451880571,17.622085198141516
MG,ANA,1841015,Governador Valadares,-18.85,-41.9333,263.0,1983.0,1999.0,17.0,4980.581,0.202,52.547,0.969,2159.2844,0.17209162,24.43049,0.9343865,0.7596638356535417,0.7596638356535417,30.996754149724403
MG,ANA,1841018,Central de Minas,-18.7631,-41.3083,252.0,1976.0,1999.0,24.0,3157.322,0.188,32.251,0.959,1207.3512,0.15705559,14.324373,0.8729903,0.7657176845314203,0.7657176845314203,26.623245641839514
MG,ANA,1843002,Gouveia,-18.46559999,-43.7431,1200.0,1974.0,1999.0,25.0,2817.621,0.189,31.104,0.955,3183.8887,0.18309659,39.450695,1.0042915,0.8922232525695486,0.8922232525695486,16.794961755695745
MG,ANA,1843003,Mendanha - Montante,-18.11329999,-43.52029999,803.0,1973.0,1999.0,27.0,640.852,0.184,7.15,0.7,3402.8865,0.18479131,37.19777,1.0091462,0.9692640078547482,0.9692640078547482,8.470053320288095
MG,ANA,1843009,Diamantina,-18.25,-43.6,1356.0,1986.0,1999.0,14.0,523.6,0.193,5.055,0.637,3338.1345,0.16857536,37.91101,1.0068073,0.8538726828542096,0.8538726828542096,19.98416276492048
MG,ANA,1844001,Santo Hipólito,-18.3061,-44.2258,510.0,1978.0,1999.0,21.0,520.911,0.179,1.979,0.737,2789.1306,0.14781314,42.57228,0.99429333,0.8540737660064737,0.8540737660064737,15.898848487497732
MG,ANA,1844009,Presidente Juscelino - Jusante,-18.64389999,-44.04809999,633.0,1978.0,1999.0,21.0,3574.346,0.188,21.695,1.033,2915.5042,0.19225627,38.072163,0.987582,0.8193128973501514,0.8193128973501514,25.559340163974536
MG,ANA,1844010,Ponte do Licínio - Jusante,-18.67139999,-44.1914,560.0,1979.0,1999.0,21.0,2302.718,0.192,30.652,0.922,2811.6965,0.19230527,37.19479,0.98343784,0.9481964695104951,0.9481964695104951,10.998547249563174
MG,ANA,1845004,Lagoa do Gouveia,-18.8414,-45.85139999,1035.0,1976.0,2010.0,35.0,2147.37,0.147,19.64,0.878,3575.5889,0.16774207,29.578606,1.0227649,0.9287587689455022,0.9287587689455022,15.154236354646734
MG,ANA,1845009,UHE Três Marias Barramento,-18.215,-45.2592,569.0,1975.0,1999.0,25.0,6168.218,0.155,37.065,1.089,3232.1538,0.14967129,26.36581,1.0146646,0.9487115425137386,0.9487115425137386,11.852746921900915
MG,ANA,1845011,São Gonçalo do Abaeté,-18.35,-45.8333,798.0,1974.0,1999.0,26.0,3600.0,0.195,32.524,0.962,2893.4224,0.15797235,23.812838,1.0024542,0.8029258614071384,0.8029258614071384,28.11261776455476
MG,ANA,1845021,Canoeiros,-18.0383,-45.5236,760.0,1974.0,1999.0,26.0,1664.16,0.191,24.171,0.828,3242.7961,0.15116635,25.420408,1.0328567,0.8366627250152467,0.8366627250152467,22.57276112214518
MG,ANA,1845022,UHE Três Marias Porto Indaiá,-18.6999999,-45.5833,976.0,1977.0,1999.0,23.0,4000.0,0.153,43.614,0.947,3227.5308,0.1384931,28.040642,1.0086522,0.8572350965541029,0.8572350965541029,19.903960592703246
MG,ANA,1845026,Fazenda das Pedras,-18.0167,-45.1058,569.0,1981.0,1999.0,19.0,4782.164,0.167,33.788,1.037,3668.4546,0.14258003,35.371895,1.0427146,0.7464320458495147,0.7464320458495147,27.91231719639295
MG,ANA,1845028,São José dos Buritis,-18.71669999,-45.1833,628.0,1987.0,1999.0,13.0,2960.921,0.162,18.136,1.003,2954.0518,0.16195934,31.744534,0.99466044,0.8744203284492892,0.8744203284492892,19.70607552486645
MG,ANA,1846005,Presidente Olegário,-18.4125,-46.42219999,953.0,1974.0,1999.0,26.0,2727.363,0.189,25.419,0.935,2116.6553,0.1720697,12.7537775,0.94384676,0.981409093744919,0.981409093744919,8.187231655079588
MG,ANA,1846018,Patos de Minas,-18.6,-46.5167,940.0,1983.0,1999.0,17.0,2837.142,0.208,29.438,0.943,1974.4819,0.15934856,11.136244,0.93240887,0.961047507736069,0.961047507736069,11.819560351560128
MG,ANA,1846019,Rocinha,-18.3736,-46.91499999,898.0,1978.0,1999.0,21.0,523.763,0.168,5.128,0.661,1592.9666,0.15014745,6.289133,0.9017075,0.8189649944769509,0.8189649944769509,18.878834619478646
