Latitude (º),Longitude (º),Altitude (m),Start year,End year,Years,K,a,b,c,K_r,a_r,b_r,c_r,NSE_all,R2_all,RMSE_all
-23.0578,-54.1939,366.0,,,41.0,5813.08,0.183,32.43,1.05,20173.625,0.17950869,105.40742,1.1553307,0.7802133433441985,0.7802133433441985,38.09065637207545
-23.6819,-54.5617,333.0,,,40.0,5959.36,0.193,32.43,1.05,36896.94,0.1747444,115.83579,1.2218413,0.8732887386339394,0.8732887386339394,30.86251949516589
-22.9703,-54.5633,307.0,,,40.0,7146.46,0.183,32.32,1.05,18675.986,0.17606,107.282394,1.1466285,0.41467865263902237,0.41467865263902237,76.65004651090126
-23.0978,-55.2436,460.0,,,41.0,7848.9,0.173,33.17,1.05,13302.58,0.1329219,70.95167,1.0827218,0.6616667136050374,0.6616667136050374,60.106916089749745
-1.5656,-48.7669,9.0,1980.0,2022.0,37.0,2742.209,0.151,18.573,0.892,2819.6516,0.16340378,35.793484,0.9369364,0.4832183655347435,0.4832183655347435,64.13875076474837
-1.5264,-52.57829999,19.0,1983.0,2014.0,31.0,6611.0,0.1621,63.0,1.0044,3570.0344,0.1760779,61.28316,0.98884904,0.41124060567786735,0.41124060567786735,42.722264581350956
-1.9014,-55.5186,37.0,1970.0,2014.0,44.0,3812.1,0.143,33.9,0.9321,14852.4795,0.09768536,113.67828,1.1268669,0.1662330617358886,0.1662330617358886,61.15870899178691
-4.8233,-56.0,45.0,1960.0,2013.0,54.0,3490.9,0.1785,33.5,0.931,3496.9514,0.19856066,41.392273,0.93475443,0.9692763667545174,0.9692763667545174,12.534118388265258
-5.3656,-49.125,95.0,1974.0,2015.0,41.0,2409.3,0.1677,17.5,0.8713,1395.7216,0.15951334,8.966534,0.8350245,0.9290462755853583,0.9290462755853583,24.695303138640472
-6.7947,-49.5486,270.0,1984.0,2020.0,37.0,2565.0,0.1511,24.6,0.8776,2661.913,0.13120678,42.3662,0.9207575,0.3860775947578592,0.3860775947578592,56.09900786789487
-6.1053,-49.3775,84.0,1985.0,2020.0,36.0,2128.2,0.1707,24.4,0.8775,2814.167,0.150989,49.634686,0.93709254,0.48980721287369455,0.48980721287369455,46.08878462950065
