Code,Name,SubBasin,City,State,Responsible,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD
02450036,FAZENDA REDOMONA,64,ARAPOTI,PARANÁ,AGUASPARANÁ,-24.2586,-50.0839,1975-11-16,2015-10-31,41,3.5,33,19.5
02450040,JOSÉ LACERDA,64,RESERVA,PARANÁ,AGUASPARANÁ,-24.4919,-50.8186,1975-10-04,2017-09-30,43,3.4,38,11.6
02450048,CARATUVA,64,ARAPOTI,PARANÁ,AGUASPARANÁ,-24.0333,-50.0833,1975-11-16,2017-09-30,43,4.4,34,20.9
02450049,SALTINHO,64,IVAÍ,PARANÁ,AGUASPARANÁ,-24.9575,-50.8917,1975-09-21,2017-09-30,43,3.2,39,9.3
02450052,RIO NOVO,64,RESERVA,PARANÁ,AGUASPARANÁ,-24.4167,-50.9667,1975-10-01,2017-09-30,43,1.4,37,14.0
02450054,CERRO AZUL,64,IPIRANGA,PARANÁ,AGUASPARANÁ,-24.8667,-50.65,1975-10-10,2017-09-30,43,4.6,34,20.9
02450062,LAGEADO LISO,64,CURIÚVA,PARANÁ,AGUASPARANÁ,-24.0167,-50.7,1987-06-01,2017-09-30,31,5.2,25,19.4
02451002,UBÁ DO SUL,64,JARDIM ALEGRE,PARANÁ,ANA,-24.05,-51.6167,1967-04-17,2017-09-30,51,2.3,46,9.8
02451003,TEREZA CRISTINA,64,CÂNDIDO DE ABREU,PARANÁ,ANA,-24.8333,-51.15,1956-08-09,2017-05-31,62,2.5,54,12.9
02451006,PORTO MONTEIRO,64,CRUZMALTINA,PARANÁ,ANA,-24.1058,-51.4822,1974-02-01,2017-09-30,44,2.7,39,11.4
02451010,SANTA MARIA DO OESTE,64,SANTA MARIA DO OEST,PARANÁ,AGUASPARANÁ,-24.9333,-51.8833,1967-04-07,2017-09-30,51,2.6,47,7.8
02451013,PITANGA,64,PITANGA,PARANÁ,AGUASPARANÁ,-24.75,-51.7667,1965-04-16,2017-09-30,53,2.5,49,7.5
02451014,IVAIPORÃ,64,IVAIPORÃ,PARANÁ,ANA,-24.25,-51.65,1955-10-12,2017-07-31,63,0.3,54,14.3
02451015,MANOEL RIBAS,64,MANOEL RIBAS,PARANÁ,ANA,-24.5167,-51.6667,1965-09-25,2017-09-30,53,4.8,42,20.8
02451017,PORTO ESPANHOL,64,GRANDES RIOS,PARANÁ,ANA,-24.3444,-51.4239,1965-08-11,2017-08-31,53,0.5,48,9.4
02451020,BARBOSA FERRAZ,64,BARBOSA FERRAZ,PARANÁ,ANA,-24.0167,-51.95,1974-08-01,2017-09-30,44,3.0,37,15.9
02451021,BARRA GRANDE,64,SANTA MARIA DO OEST,PARANÁ,AGUASPARANÁ,-24.7792,-51.9544,1975-03-05,2017-09-30,43,3.3,38,11.6
02451022,JACUTINGA,64,IVAIPORÃ,PARANÁ,AGUASPARANÁ,-24.25,-51.5333,1975-01-25,2017-09-30,43,3.1,39,9.3
02451023,RIBEIRÃO BONITO,64,GRANDES RIOS,PARANÁ,AGUASPARANÁ,-24.1833,-51.4333,1975-01-25,2015-12-31,41,2.2,36,12.2
02451026,ARROIO GRANDE,64,PITANGA,PARANÁ,AGUASPARANÁ,-24.6167,-51.8333,1975-09-21,2017-09-30,43,3.2,39,9.3
02451027,CARAZINHO,64,BOA VENTURA DE SÃO ,PARANÁ,AGUASPARANÁ,-24.9083,-51.6578,1975-09-20,2017-09-30,43,3.2,39,9.3
02451028,BOA VENTURA DE SÃO ROQUE,64,BOA VENTURA DE SÃO ,PARANÁ,AGUASPARANÁ,-24.9333,-51.6333,1975-09-21,2017-09-30,43,3.2,39,9.3
02451029,FAXINAL DA BOA VISTA,64,PRUDENTÓPOLIS,PARANÁ,AGUASPARANÁ,-24.9167,-51.3667,1975-09-17,2017-09-30,43,3.8,38,11.6
02451032,RIO DO SUSTO (CASCATA),64,PITANGA,PARANÁ,AGUASPARANÁ,-24.7592,-51.6219,1975-09-01,2017-09-30,43,4.3,35,18.6
02451034,JACIABA,64,PRUDENTÓPOLIS,PARANÁ,AGUASPARANÁ,-24.8331,-51.2831,1975-09-16,2017-07-31,43,3.4,38,11.6
02451035,BAIRRO DA IMBUIA,64,RESERVA,PARANÁ,AGUASPARANÁ,-24.8592,-51.0089,1975-10-01,2017-09-30,43,3.2,39,9.3
02451036,BOM RETIRO,64,PITANGA,PARANÁ,AGUASPARANÁ,-24.6411,-51.7581,1975-09-21,2017-08-31,43,3.8,36,16.3
02451038,FAXINAL DE CATANDUVAS,64,CÂNDIDO DE ABREU,PARANÁ,AGUASPARANÁ,-24.6167,-51.2667,1975-10-04,2017-09-30,43,3.2,39,9.3
02451039,LARANJEIRAS,64,LARANJEIRAS DO SUL,PARANÁ,AGUASPARANÁ,-25.4167,-52.4167,1975-10-03,2015-02-19,41,0.8,38,7.3
02451043,BARRA BONITA,64,RESERVA,PARANÁ,AGUASPARANÁ,-24.5694,-51.1531,1975-10-03,2017-08-31,43,3.3,37,14.0
02451044,NOVA TEBAS,64,NOVA TEBAS,PARANÁ,AGUASPARANÁ,-24.4167,-51.9333,1975-11-18,2017-09-30,43,3.8,37,14.0
02451045,ALTO PORÃ,64,IVAIPORÃ,PARANÁ,AGUASPARANÁ,-24.3531,-51.6914,1975-10-18,2017-08-31,43,4.0,37,14.0
02451046,ARIRANHA,64,ARIRANHA DO IVAÍ,PARANÁ,AGUASPARANÁ,-24.3667,-51.5,1975-10-17,2017-09-30,43,3.7,37,14.0
02451047,RIO BRANCO DO IVAI,64,RIO BRANCO DO IVAÍ,PARANÁ,AGUASPARANÁ,-24.3167,-51.3,1975-10-16,2017-09-30,43,3.8,37,14.0
02451049,POUSO ALEGRE,64,JARDIM ALEGRE,PARANÁ,AGUASPARANÁ,-24.1144,-51.7342,1975-10-17,2017-09-30,43,4.4,37,14.0
02451051,CÂNDIDO DE ABREU,64,CÂNDIDO DE ABREU,PARANÁ,AGUASPARANÁ,-24.565,-51.3314,1975-10-04,2015-10-31,41,1.4,35,14.6
02452000,BALSA DO CANTU,64,ALTAMIRA DO PARANÁ,PARANÁ,ANA,-24.7489,-52.7019,1967-07-24,2017-09-30,51,3.5,40,21.6
02452001,PONTE DO GOIO - BANG,64,CAMPINA DA LAGOA,PARANÁ,ANA,-24.5544,-52.9014,1967-07-25,2017-09-30,51,4.4,39,23.5
02452007,CAMPO MOURÃO,64,CAMPO MOURÃO,PARANÁ,AGUASPARANÁ,-24.0472,-52.3675,1973-02-20,2017-09-30,45,4.1,38,15.6
02452008,IRETAMA,64,IRETAMA,PARANÁ,AGUASPARANÁ,-24.4167,-52.1,1965-09-17,2017-08-31,53,7.7,41,22.6
02452009,UBIRATÃ,64,UBIRATÃ,PARANÁ,AGUASPARANÁ,-24.5333,-52.9833,1965-04-16,2017-09-30,53,2.7,48,9.4
02452010,JANIÓPOLIS,64,JANIÓPOLIS,PARANÁ,AGUASPARANÁ,-24.1333,-52.7667,1967-04-08,2017-09-30,51,2.9,43,15.7
02452011,CAMPINA DA LAGOA,64,CAMPINA DA LAGOA,PARANÁ,AGUASPARANÁ,-24.5997,-52.8042,1965-04-15,2017-09-30,53,4.0,46,13.2
02452012,ALTAMIRA DO PARANÁ,64,ALTAMIRA DO PARANÁ,PARANÁ,AGUASPARANÁ,-24.8,-52.7,1966-03-18,2017-09-30,52,3.8,42,19.2
