reference_key,source_sheet,source_row,station_code,station_name,latitude_xlsx,longitude_xlsx,lat_key,lon_key,K_r_sampled,a_r_sampled,b_r_sampled,c_r_sampled,latitude_metric,longitude_metric,K,a,b,c,K_r_metric,a_r_metric,b_r_metric,c_r_metric,K_r_abs_diff_sampled_minus_metric,K_r_rel_diff_pct_sampled_minus_metric,a_r_abs_diff_sampled_minus_metric,a_r_rel_diff_pct_sampled_minus_metric,b_r_abs_diff_sampled_minus_metric,b_r_rel_diff_pct_sampled_minus_metric,c_r_abs_diff_sampled_minus_metric,c_r_rel_diff_pct_sampled_minus_metric,max_abs_rel_diff_pct_sampled_vs_metric
standard,Standard,273,737037,Tabira,-7.5833,-37.55,-7.5833,-37.55,1470.56884765625,0.19403807818889618,13.356571197509766,0.8555589318275452,-7.5833,-37.55,599.973,0.103,7.628,0.632,571.20087,0.15678747,1.2267817e-10,0.79421085,899.36797765625,157.45213722385438,0.03725060818889617,23.75866399840253,13.356571197387087,10887488130436.805,0.06134808182754514,7.724407419962236,10887488130436.805
standard,Standard,274,738030,Serra Talhada,-7.98333,-38.3,-7.98333,-38.3,1467.1331787109375,0.20831164717674255,15.213725090026855,0.8612566590309143,-7.98333,-38.3,764.167,0.76,12.879,0.66,645.1832,0.18494639,1.6860842e-10,0.8093805,821.9499787109374,127.39792026682304,0.023365257176742565,12.633529736234681,15.213725089858247,9023111117379.693,0.05187615903091436,6.409366056003864,9023111117379.693
standard,Standard,278,835027,Glória do Goita,-8.0,-35.29999999,-8.0,-35.3,1367.4803466796875,0.28716838359832764,14.500842094421387,0.8608511686325073,-8.0,-35.29999999,565.2,0.2333,17.0,0.7533,567.54297,0.21880357,1.6927271e-10,0.78568304,799.9373766796875,140.94745578113452,0.06836481359832763,31.24483462419175,14.500842094252114,8566556354094.002,0.07516812863250733,9.56723319781821,8566556354094.002
standard,Standard,282,839017,Salgueiro,-8.0667,-39.1167,-8.0667,-39.1167,1435.4581298828125,0.22610406577587128,16.400192260742188,0.8660032153129578,-8.0667,-39.1167,1719.692,0.11,16.676,0.795,745.0934,0.17055678,3.7551073e-10,0.82012177,690.3647298828125,92.65479064541607,0.055547285775871286,32.56820735937398,16.400192260366676,4367436387334.837,0.04588144531295779,5.594467430483864,4367436387334.837
standard,Standard,254,1556009,Cuiabá,-15.6067,-56.06029999,-15.6067,-56.0603,982.3318481445312,0.12182091921567917,16.046751022338867,0.780393660068512,-15.6067,-56.06029999,1382.435,0.3002,27.7109,0.9315,310.86172,0.14639068,1.275557e-09,0.7146551,671.4701281445313,216.00283500475106,-0.024569760784320827,-16.783691956565015,16.04675102106331,1258019125845.6748,0.06573856006851198,9.198641424165585,1258019125845.6748
standard,Standard,253,1556003,Várzea Grande,-15.6,-56.1,-15.6,-56.1,982.3318481445312,0.12182091921567917,16.046751022338867,0.780393660068512,-15.6,-56.1,1016.453,0.133,7.5,0.739,293.6335,0.14530733,1.8155488e-09,0.70253026,688.6983481445312,234.54352045816677,-0.023486410784320844,-16.16326635712104,16.046751020523317,883851264175.5107,0.077863400068512,11.083280607516038,883851264175.5107
standard,Standard,262,-,Cuiabá,-15.55,-56.11666667,-15.55,-56.11667,983.9317626953125,0.17770706117153168,16.005949020385742,0.7853977680206299,-15.55,-56.11666667,2350.99,0.2,19.0,0.9,270.51483,0.1359259,4.577579e-09,0.68430316,713.4169326953124,263.72562742505187,0.04178116117153169,30.738189831026826,16.005949015808163,349659700374.5465,0.10109460802062986,14.773365655746769,349659700374.5465
standard,Standard,67,1541010,Itamarati,-15.5808,-41.4086,-15.5808,-41.4086,5001.54150390625,0.1486530750989914,92.286865234375,1.0240110158920288,-15.5808,-41.4086,2210.5,0.153,33.4,0.8938,264.96945,0.17652293,5.5040193e-08,0.63921875,4736.57205390625,1787.5917596939007,-0.0278698549010086,-15.788234934129294,92.28686517933481,167671768845.9683,0.38479226589202886,60.19727454678526,167671768845.9683
standard,Standard,276,740024,Serrolândia,-7.4167,-40.1833,-7.4167,-40.1833,1658.3260498046875,0.21276743710041046,20.404897689819336,0.8896556496620178,-7.4167,-40.1833,947.444,0.116,11.767,0.749,250.02295,0.19115928,1.11222036e-07,0.66780734,1408.3030998046875,563.2695317788576,0.021608157100410474,11.303744762174496,20.4048975785973,18346092476.31225,0.22184830966201785,33.22040600242847,18346092476.31225
standard,Standard,257,1653004,Alto Garças,-16.9442,-53.5336,-16.9442,-53.5336,1041.01025390625,0.16140301525592804,2.1971800327301025,0.8141079545021057,-16.9442,-53.5336,6037.949,0.182,17.764,1.178,811.0683,0.17465477,2.6815194e-08,0.82453096,229.94195390624998,28.350504378761933,-0.013251754744071947,-7.587399270041091,2.1971800059149085,8193787469.577539,-0.010423005497894322,-1.264113296351458,8193787469.577539
standard,Standard,411,-,Cruz Alta,-28.63333333,-53.61666667,-28.63333,-53.61667,2155.6337890625,0.15360529720783234,21.676483154296875,0.8453637361526489,-28.63333333,-53.61666667,863.25,0.14,3.6,0.7,931.684,0.15841062,2.8775688e-07,0.7839449,1223.9497890625,131.36962629630864,-0.0048053227921676656,-3.0334599991892373,21.676482866539995,7532915587.123406,0.06141883615264898,7.834585843041901,7532915587.123406
