station_id,reference_key,source_sheet,source_row,station_code,station_name,latitude,longitude,n_bias_values,median_bias_pct,mean_bias_pct,std_bias_pct,max_abs_bias_pct,p95_abs_bias_pct,K,a,b,c,K_r,a_r,b_r,c_r
disaggregation_row69,disaggregation,Disaggregation,69,,,-18.0986,-54.54719999,128,7.367080883856922,24.760855732704037,56.473854677062455,212.3473874798949,207.93949193953813,6401.78,0.183,32.8,1.06,1856.8662109375,0.1858854740858078,0.32893285155296326,0.8914605379104614
disaggregation_row302,disaggregation,Disaggregation,302,,,-32.5381,-52.5386,128,30.336808606789553,37.741374795312986,60.19542554727768,210.38801695866178,138.65614428602666,1218.48,0.0768,9.3661,0.7271,19633.396484375,0.26344168186187744,109.66665649414062,1.1677324771881104
standard_row45,standard,Standard,45,1840020,São João da Cachoeira Grande,-18.5647,-40.3367,128,33.77708688748548,52.883767288114704,49.55833808726292,210.1012687745243,192.85835191962312,5829.147,0.192,33.421,1.089,1344.4107666015625,0.17920584976673126,3.4210076332092285,0.8064990639686584
disaggregation_row303,disaggregation,Disaggregation,303,,,-32.5381,-52.5386,128,31.069069026453455,38.06705011923092,59.77011058467657,208.94341866755218,137.79447059106315,1218.48,0.08,9.37,0.73,19633.396484375,0.26344168186187744,109.66665649414062,1.1677324771881104
disaggregation_row26,disaggregation,Disaggregation,26,,,-6.4,-38.85,128,64.62545013132784,71.24436886633636,54.67885317189516,208.76430859219045,170.94025535837912,438.86,0.0743,0.0,0.6567,1665.9591064453125,0.21040727198123932,14.117833137512207,0.8688982725143433
standard_row319,standard,Standard,319,-,Curitiba,-25.43333333,-49.26666667,128,14.289286179353915,24.712444868805218,51.841401214363344,200.1615992736858,123.71409326310793,5950.0,0.217,26.0,1.15,5559.216796875,0.11138355731964111,42.97759246826172,1.0153061151504517
standard_row68,standard,Standard,68,1543002,Colônia do Jaíba,-15.3411,-43.6753,128,4.732382935180119,22.78622467775365,48.792899937139445,194.24237787360315,162.37104681759078,6527.477,0.226,32.114,1.141,1000.1412963867188,0.2003398984670639,2.9934303760528564,0.8188679218292236
standard_row227,standard,Standard,227,2144018,Aiuruoca,-21.9772,-44.6033,128,22.488519555911225,36.77494189967213,42.497644151473786,193.32414053283267,155.48851940123413,8394.51,0.205,40.691,1.165,1934.46923828125,0.17407910525798798,10.64963150024414,0.8871259093284607
standard_row410,standard,Standard,410,-,Caxias do Sul,-29.16666667,-51.2,128,45.17122681541599,52.35666360778793,49.201926906853345,193.24798513949918,137.9265260575951,702.71,0.24,8.85,0.74,2526.979248046875,0.1546059548854828,6.01505184173584,0.8709874153137207
standard_row250,standard,Standard,250,1059000,Humboldt,-10.1753,-59.4517,128,49.91568326419283,49.747861059300554,60.395861460936494,189.21778291614098,142.21237736992276,470.837,0.112,4.347,0.58,5495.71826171875,0.23973269760608673,40.49723815917969,0.9987353086471558
standard_row102,standard,Standard,102,1744020,Montante Barra do Jequitaí,-17.0667,-44.79999999,128,5.225092588323275,21.16475989429148,48.64569423330937,180.2177855303097,145.32941686003502,11285.14,0.212,45.875,1.225,3869.642578125,0.18223120272159576,43.79561996459961,0.9950112700462341
standard_row283,standard,Standard,283,840013,Jutaí,-8.6333,-40.2333,128,21.00799478539342,25.17497510452946,55.55779523232602,172.0247002296515,121.22460591254669,395.531,0.133,1.34,0.565,4676.60498046875,0.2930990755558014,47.650550842285156,1.0237711668014526
standard_row81,standard,Standard,81,1642000,Araçuaí,-16.8667,-42.0667,128,-8.732506843258777,17.02658690711023,51.248171149075084,171.35302876919846,147.2351096540718,3450.0,0.225,58.409,0.947,1338.8568115234375,0.20417284965515137,5.429431438446045,0.8404014110565186
disaggregation_row315,disaggregation,Disaggregation,315,,,-10.2,-36.86666667,128,60.92703669997074,66.89702516182051,43.91747025536217,169.47543969566217,156.9361369881572,984.38,0.14,10.52,0.753,1882.34765625,0.2714747190475464,14.498388290405273,0.86082923412323
standard_row278,standard,Standard,278,835027,Glória do Goita,-8.0,-35.29999999,128,73.10868694504902,74.2921014000519,39.734676416863024,169.0364661320071,138.1937932160784,565.2,0.2333,17.0,0.7533,1367.4803466796875,0.28716838359832764,14.500842094421387,0.8608511686325073
disaggregation_row314,disaggregation,Disaggregation,314,,,-10.45,-36.65,128,77.80412035535191,79.05176835111466,39.03287694605961,165.9638648658234,154.93509930304583,893.6,0.149,10.52,0.753,2076.777099609375,0.2499266415834427,15.147960662841797,0.8614490628242493
standard_row237,standard,Standard,237,2245064,Delfim Moreira,-22.50969999,-45.2867,128,34.641344605844225,53.00571643707195,38.925955056437914,164.6401533616475,143.35796185937522,1005.939,0.158,16.605,0.824,1372.4366455078125,0.17502544820308685,5.201801776885986,0.8505090475082397
standard_row234,standard,Standard,234,2145033,Machado,-21.66669999,-45.91669999,128,16.659717776494702,27.488792641028695,43.80760811107464,163.58562400356178,126.01639006809108,3811.29,0.207,20.34,1.075,2064.5908203125,0.17256268858909607,20.897300720214844,0.9008018374443054
disaggregation_row312,disaggregation,Disaggregation,312,,,-9.7,-37.66666667,128,34.117882611986005,43.34057863693251,47.253686418626366,161.4884368046786,142.18850952525676,899.94,0.109,10.52,0.753,1197.9874267578125,0.2828627824783325,12.955493927001953,0.8554027676582336
disaggregation_row311,disaggregation,Disaggregation,311,,,-9.91666667,-37.26666667,128,39.22418204721617,47.70841489426075,45.488285585151104,158.96963470148324,142.4323771463722,873.7,0.125,10.52,0.753,1268.6158447265625,0.285828560590744,13.360265731811523,0.8555929660797119
disaggregation_row404,disaggregation,Disaggregation,404,,,-24.93333333,-47.95,128,23.04596462679382,28.42339250439494,62.983635363509514,158.6459434625966,127.80587955971222,909.3,0.2864,80.9,0.6971,8562.5966796875,0.21376413106918335,57.45015335083008,1.0512272119522095
standard_row502,standard,Standard,502,2347020,Fazenda Pinhal,-23.26666667,-47.11666667,128,45.771380419538815,39.934094944712015,54.61151317442602,157.76453207510448,119.64654247153612,516.072,0.104,5.004,0.632,10012.13671875,0.2010895311832428,50.35707092285156,1.1182754039764404
disaggregation_row34,disaggregation,Disaggregation,34,,,-18.9856,-40.7461,128,-10.459570942835501,12.221151230238581,47.80645271501872,157.44226950836256,141.39703774687118,3267.4,0.1649,52.2,0.9207,1218.066650390625,0.15050700306892395,3.994204044342041,0.811866819858551
